source = 44_1.14_file-io.USDJPY.Period-H1.Days-1900.Bars-45600.20180511_181208.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.184000	898	904	905	2018.03.15 02:00	2018.03.15 08:00	2018.03.15 09:00	2018.03.14 19:00	2018.03.15 01:00	2018.03.15 02:00	106.256	106.318	106.162	106.664	106.538	106.413	106.288	106.163
0.164000	907	909	911	2018.03.15 11:00	2018.03.15 13:00	2018.03.15 15:00	2018.03.15 04:00	2018.03.15 06:00	2018.03.15 08:00	105.927	106.026	105.929	106.699	106.492	106.286	106.079	105.873
0.147000	912	913	915	2018.03.15 16:00	2018.03.15 17:00	2018.03.15 19:00	2018.03.15 09:00	2018.03.15 10:00	2018.03.15 12:00	106.048	106.081	105.945	106.563	106.373	106.183	105.993	105.803
0.097000	917	918	919	2018.03.15 21:00	2018.03.15 22:00	2018.03.15 23:00	2018.03.15 14:00	2018.03.15 15:00	2018.03.15 16:00	105.984	105.999	105.911	106.397	106.242	106.086	105.931	105.775
0.294000	920	922	923	2018.03.16 00:00	2018.03.16 02:00	2018.03.16 03:00	2018.03.15 17:00	2018.03.15 19:00	2018.03.15 20:00	106.010	106.212	105.988	106.287	106.162	106.037	105.912	105.788
0.353000	924	926	931	2018.03.16 04:00	2018.03.16 06:00	2018.03.16 11:00	2018.03.15 21:00	2018.03.15 23:00	2018.03.16 04:00	106.240	106.344	105.997	106.290	106.168	106.046	105.924	105.802
0.070000	936	936	937	2018.03.16 16:00	2018.03.16 16:00	2018.03.16 17:00	2018.03.16 09:00	2018.03.16 09:00	2018.03.16 10:00	105.950	105.950	105.656	106.413	106.249	106.084	105.920	105.756
0.143000	938	938	939	2018.03.16 18:00	2018.03.16 18:00	2018.03.16 19:00	2018.03.16 11:00	2018.03.16 11:00	2018.03.16 12:00	105.798	105.798	105.712	106.451	106.255	106.058	105.862	105.665
0.531000	942	944	958	2018.03.16 22:00	2018.03.17 00:00	2018.03.19 14:00	2018.03.16 15:00	2018.03.16 17:00	2018.03.19 07:00	105.797	106.152	105.709	106.461	106.224	105.987	105.750	105.513
0.486000	959	966	969	2018.03.19 15:00	2018.03.19 22:00	2018.03.20 01:00	2018.03.19 08:00	2018.03.19 15:00	2018.03.19 18:00	105.742	106.196	105.832	106.246	106.100	105.954	105.809	105.663
0.721000	970	1000	1019	2018.03.20 02:00	2018.03.21 08:00	2018.03.22 03:00	2018.03.19 19:00	2018.03.21 01:00	2018.03.21 20:00	105.897	106.537	106.169	106.590	106.502	106.415	106.327	106.240
0.165000	1022	1023	1024	2018.03.22 06:00	2018.03.22 07:00	2018.03.22 08:00	2018.03.21 23:00	2018.03.22 00:00	2018.03.22 01:00	106.047	106.063	105.962	106.568	106.419	106.270	106.121	105.972
0.297000	1027	1031	1033	2018.03.22 11:00	2018.03.22 15:00	2018.03.22 17:00	2018.03.22 04:00	2018.03.22 08:00	2018.03.22 10:00	105.681	105.900	105.693	106.487	106.254	106.022	105.789	105.556
0.069000	1034	1034	1035	2018.03.22 18:00	2018.03.22 18:00	2018.03.22 19:00	2018.03.22 11:00	2018.03.22 11:00	2018.03.22 12:00	105.763	105.763	105.622	106.393	106.170	105.947	105.724	105.502
0.022000	1037	1037	1038	2018.03.22 21:00	2018.03.22 21:00	2018.03.22 22:00	2018.03.22 14:00	2018.03.22 14:00	2018.03.22 15:00	105.636	105.636	105.407	106.256	106.054	105.851	105.649	105.446
0.034000	1039	1039	1041	2018.03.22 23:00	2018.03.22 23:00	2018.03.23 01:00	2018.03.22 16:00	2018.03.22 16:00	2018.03.22 18:00	105.439	105.439	105.333	106.156	105.963	105.770	105.577	105.383
0.428000	1042	1043	1045	2018.03.23 02:00	2018.03.23 03:00	2018.03.23 05:00	2018.03.22 19:00	2018.03.22 20:00	2018.03.22 22:00	105.618	105.762	105.383	106.011	105.841	105.670	105.499	105.328
0.030000	1047	1047	1048	2018.03.23 07:00	2018.03.23 07:00	2018.03.23 08:00	2018.03.23 00:00	2018.03.23 00:00	2018.03.23 01:00	105.315	105.315	104.847	105.951	105.770	105.589	105.409	105.228
0.109000	1049	1049	1050	2018.03.23 09:00	2018.03.23 09:00	2018.03.23 10:00	2018.03.23 02:00	2018.03.23 02:00	2018.03.23 03:00	104.959	104.959	104.843	106.051	105.781	105.511	105.241	104.971
0.082000	1051	1051	1052	2018.03.23 11:00	2018.03.23 11:00	2018.03.23 12:00	2018.03.23 04:00	2018.03.23 04:00	2018.03.23 05:00	104.924	104.924	104.886	106.023	105.719	105.415	105.112	104.808
0.264000	1054	1057	1058	2018.03.23 14:00	2018.03.23 17:00	2018.03.23 18:00	2018.03.23 07:00	2018.03.23 10:00	2018.03.23 11:00	104.813	105.028	104.893	105.795	105.479	105.162	104.846	104.530
0.267000	1060	1063	1065	2018.03.23 20:00	2018.03.23 23:00	2018.03.24 01:00	2018.03.23 13:00	2018.03.23 16:00	2018.03.23 18:00	104.982	105.144	104.830	105.456	105.235	105.015	104.795	104.574
0.195000	1066	1067	1068	2018.03.24 02:00	2018.03.24 03:00	2018.03.24 04:00	2018.03.23 19:00	2018.03.23 20:00	2018.03.23 21:00	104.906	105.030	104.802	105.156	105.043	104.931	104.819	104.706
