source = 44_1.14_file-io.AUDJPY.Period-H1.Days-1900.Bars-45600.20180511_181322.csv (C:\WORKS_2\WS\WS_Others\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv)
Max	idx_Start	idxOf_SumMax	idx(when ended)	dateTime_Local(started)	dateTime_Local(max)	dateTime_Local(ended)	dateTime(started)	dateTime(max)	dateTime(ended)	price_Close(started)	price_Close(max)	price_Close(ended)	BB_2S(max)	BB_1S(max)	BB_Main(max)	BB_M1S(max)	BB_M2S(max)
0.025000	697	697	698	2018.03.02 17:00	2018.03.02 17:00	2018.03.02 18:00	2018.03.02 10:00	2018.03.02 10:00	2018.03.02 11:00	82.080	82.080	81.973	82.944	82.678	82.413	82.147	81.881
0.160000	702	702	703	2018.03.02 22:00	2018.03.02 22:00	2018.03.02 23:00	2018.03.02 15:00	2018.03.02 15:00	2018.03.02 16:00	81.806	81.806	81.607	82.663	82.416	82.169	81.921	81.674
0.536000	704	711	719	2018.03.03 00:00	2018.03.05 07:00	2018.03.05 15:00	2018.03.02 17:00	2018.03.05 00:00	2018.03.05 08:00	81.669	81.976	81.700	82.300	82.118	81.935	81.753	81.571
1.739000	721	749	760	2018.03.05 17:00	2018.03.06 21:00	2018.03.07 08:00	2018.03.05 10:00	2018.03.06 14:00	2018.03.07 01:00	81.756	83.197	82.201	83.051	82.803	82.556	82.309	82.062
0.931000	761	784	800	2018.03.07 09:00	2018.03.08 08:00	2018.03.09 00:00	2018.03.07 02:00	2018.03.08 01:00	2018.03.08 17:00	82.254	83.101	82.528	83.111	82.897	82.683	82.470	82.256
0.080000	801	801	803	2018.03.09 01:00	2018.03.09 01:00	2018.03.09 03:00	2018.03.08 18:00	2018.03.08 18:00	2018.03.08 20:00	82.608	82.608	82.550	83.191	83.032	82.873	82.714	82.554
1.903000	804	868	906	2018.03.09 04:00	2018.03.13 20:00	2018.03.15 10:00	2018.03.08 21:00	2018.03.13 13:00	2018.03.15 03:00	82.728	84.430	83.378	84.331	84.128	83.925	83.722	83.518
0.182000	907	908	910	2018.03.15 11:00	2018.03.15 12:00	2018.03.15 14:00	2018.03.15 04:00	2018.03.15 05:00	2018.03.15 07:00	83.412	83.562	83.469	84.260	84.036	83.812	83.587	83.363
0.097000	912	913	915	2018.03.15 16:00	2018.03.15 17:00	2018.03.15 19:00	2018.03.15 09:00	2018.03.15 10:00	2018.03.15 12:00	83.413	83.440	83.298	84.085	83.871	83.657	83.443	83.230
0.122000	920	920	921	2018.03.16 00:00	2018.03.16 00:00	2018.03.16 01:00	2018.03.15 17:00	2018.03.15 17:00	2018.03.15 18:00	83.003	83.003	82.876	83.908	83.658	83.408	83.159	82.909
0.021000	922	922	923	2018.03.16 02:00	2018.03.16 02:00	2018.03.16 03:00	2018.03.15 19:00	2018.03.15 19:00	2018.03.15 20:00	82.898	82.898	82.776	83.853	83.587	83.322	83.057	82.791
